player,position,team,weight,usd,usd_per_troy_oz,headshot
Rashan Gary,ED,Packers,283,24000000,5815.2581178640885,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t4clz4xe8sfxszmvohfo"
Bradley Chubb,ED,Dolphins,269,22000000,5608.085043652697,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vhjsqvxi3jsrvpr08kuv"
Danielle Hunter,ED,Texans,252,24500000,6666.681904796735,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hsgq2reivph5rd48rq4p"
Trey Hendrickson,ED,Bengals,266,21000000,5413.546208406371,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oggkxhesq0dxedudmr66"
Harold Landry,ED,Titans,250,17500000,4800.010971453649,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/akafrpdcokvwz2psbbmj"
Joey Bosa,ED,Chargers,269,20180000,5144.143462768701,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mlrnkg2xcymq7ilodar5"
Alex Highsmith,ED,Steelers,242,17000000,4817.012190951124,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pid301mbi8xc7jkg8c6q"
Von Miller,ED,Bills,250,19088750,5235.783396076334,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qpprquecnqk19xsi0dtj"
Jonathan Greenard,ED,Vikings,263,19000000,4953.8407635860585,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a8ztocyqrsxgmczzdyum"
Khalil Mack,ED,Chargers,251,19000000,5190.677772203719,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xgd2ujsu1yhfa0aulchw"
Haason Reddick,ED,PHI/NYJ,237,15000000,4339.973753574728,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qqfxdnlmmyzbh27lmxgi"
Uchenna Nwosu,ED,Seahawks,240,15000000,4285.724081655044,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z6fbgjrfgltuiq1okiex"
Bryce Huff,ED,Eagles,255,17033333,4580.402536718403,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f7d7rc4mrzkppwgqezin"
Demarcus Lawrence,ED,Cowboys,251,13333333,3642.5808017100167,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qzgz3zr1nmhxy0fiaqes"
Cameron Jordan,ED,Saints,287,13250000,3165.7613425465834,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wxcyaqstm1qguagtp1ye"
Carl Granderson,ED,Saints,254,13000000,3509.569326709642,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xe17ud7n1ofomz8kk3ke"
Sam Hubbard,ED,Bengals,265,10000000,2587.606992697385,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eoodwerhenaqvcaqm29t"
Chase Young,ED,Saints,265,13000000,3363.8890905066005,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lyc9qh7fequeo0lwvjhh"
Matt Judon,ED,ATL/NE,275,11250000,2805.2012170833013,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gzqaca6m73uzgwczrw7z"
Preston Smith,ED,Packers,271,12500000,3162.8960012214347,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pbnpmobpw8my9vbftl0l"
Za'Darius Smith,ED,Browns,263,11500000,2998.3773042757725,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nwkviymnel224ydqhmgq"
Travon Walker,ED,Jaguars,272,9343156,2355.422862815283,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u578pgqmortimghxzgev"
Dorance Armstrong Jr.,ED,Commanders,246,11000000,3066.2090990702754,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cdapnpgtde1mdf7r8l5e"
Aidan Hutchinson,ED,Lions,268,8928847,2284.571618466471,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cq1xzlvlcvssuucj3jfv"
Frankie Luvu,ED,Commanders,235,10333333,3015.204363020307,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tirwphxxgjmqhf2ucs9h"
Will Anderson Jr.,ED,Texans,253,8803205,2385.967283114377,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ljotxifz4kwcbvye1klk"
Andrew Van Ginkel,ED,Vikings,236,10000000,2905.575648579691,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c4d7l9millp4ow5dj4uh"
Josh Sweat,ED,Eagles,250,10000000,2742.863412259228,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a9hwqejfdixaw2uhbsmz"
Leonard Floyd,ED,49ers,244,10000000,2810.3108732164224,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nfkjp8qksxbnenougfzt"
Denico Autry,ED,Texans,273,10000000,2511.7796815560696,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pafmcnd47wgvl8q1kulm"
Jadeveon Clowney,ED,Panthers,274,10000000,2502.612602426303,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lu2evianim8sdgfyxlgh"
Kayvon Thibodeaux,ED,Giants,256,7834760,2098.6012253742297,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e9m5tfuhkstxtlavaxee"
Samson Ebukam,ED,Colts,240,8000000,2285.7195102160235,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/puuebkvbsos1ei2inl4f"
Charles Omenihu,ED,Chiefs,275,8000000,1994.8097543703477,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7hyavaepvuienrmh9bi"
Yetur Gross-Matos,ED,49ers,264,9000000,2337.6676809027513,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jfblyob1da4sgrig3yxp"
Mike Danna,ED,Chiefs,261,8000000,2101.811043876803,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oiywq8es1rm2rjnpbouw"
Arden Key,ED,Titans,265,7000000,1811.3248948881696,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xxdj5ryrs3vlp7ubhbye"
Deatrich Wise,ED,Patriots,274,5500000,1376.4369313344666,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bxwmlzyorjsos6w7g2x6"
